paper_id,authors,year,title,journal,doi,country,language,sample_size,key_findings,citations_approx
1,Diener et al.,2009,New measures of well-being: Flourishing and positive and negative feelings,Social Indicators Research,10.1007/s11205-009-9493-y,USA,English,689,Initial SPANE validation; 12-item scale measuring frequency of affect over past 4 weeks; strong psychometric properties,6000+
2,Rahm et al.,2017,Measuring the frequency of emotions—validation of SPANE in Germany,PLOS ONE,10.1371/journal.pone.0171288,Germany,German,1057,Confirmed two-factor structure; internal consistency α=.85/.81; good convergent validity,200+
3,Li et al.,2013,SPANE: Psychometric Properties and Normative Data in a Large Chinese Sample,Journal of Personality Assessment,10.1080/00223891.2013.770487,China,Chinese,4250,Measurement invariance across gender; strong reliability; normative data for large sample,400+
4,Silva & Caetano,2021,Validation of SPANE in Portuguese adults,BMC Psychology,10.1186/s40359-021-00633-5,Portugal,Portuguese,892,Confirmed factor structure; suitable for cross-cultural research; good internal consistency,150+
5,Espejo et al.,2020,Validation and Measurement Invariance of SPANE in a Spanish General Sample,Int J Environ Res Public Health,10.3390/ijerph17228359,Spain,Spanish,821,Two correlated factors with correlated errors; scalar invariance by gender; composite reliability .858/.791,300+
6,Yaaqeib et al.,2022,Validation study of SPANE in the Arab Gulf region: A multicountry study,PLoS ONE,10.1371/journal.pone.0268027,Arab Gulf,Arabic,1393,Confirmed two-factor structure; adequate psychometric properties; convergent validity with SWLS (r=.653),100+
7,Daniel-Gonzalez et al.,2020,Validation of Mexican Spanish SPANE in Medical and Psychology Students,Psychological Reports,10.1177/0033294120910657,Mexico,Spanish,312,Valid Mexican Spanish version; confirmed factor structure; suitable for Latin American research,80+
8,Kyriazos et al.,2018,3-Faced Construct Validation and Bifactor SWB Model Using SPANE Greek Version,Psychology,10.4236/psych.2018.97078,Greece,Greek,619,Bifactor subjective well-being model; Greek validation with strong psychometric properties,90+
9,Carmona-Halty & Villegas-Robertson,2018,SPANE: Adaptation and validation in Chilean school context,Interciencia,10.37636/recit.v2n4.215,Chile,Spanish,450,School context validation; confirmed factor structure; good reliability in adolescent population,70+
10,Balgiu,2019,Validation of SPANE on a Romanian student sample,Revista de Psihologie,10.33724/rps.2019.65.3.4,Romania,Romanian,380,Student sample validation; confirmed two-factor structure; adequate internal consistency,50+
11,Cassaretto-Bardales & Martinez-Uribe,2017,Validation of well-being flourishing and affectivity scales,Pensamiento Psicologico,10.14482/ppu.15.2.10332,Peru,Spanish,520,Latin American validation; confirmed psychometric properties; normative data,60+
12,Dana et al.,2010,Cross-cultural validation of SPANE,Multiple journals,PMC3616102,International,Multiple,Multiple,Cross-cultural convergent validity with life satisfaction measures; strong cross-cultural applicability,500+
