measure_id,measure_name,abbreviation,items,scoring_range,developer,year,description,relation_to_spane,when_to_use
1,Positive and Negative Affect Schedule,PANAS,20,10-50,Watson et al.,1988,Measures intensity of positive and negative affect using 10 items each. Higher arousal focus.,SPANE measures frequency (not intensity) with fewer items; both assess positive/negative affect. SPANE has better cross-cultural validity.,When you need to measure affect INTENSITY rather than frequency
2,Satisfaction With Life Scale,SWLS,5,5-35,Diener et al.,1985,Measures global cognitive judgment of life satisfaction. Single-factor scale.,SPANE correlates strongly with SWLS (r=.65); together they assess emotional AND cognitive well-being. SPANE measures affect; SWLS measures cognition.,When you need cognitive evaluation of life satisfaction
3,Flourishing Scale,FS,8,8-56,Diener et al.,2010,Measures psychological flourishing: positive relationships competence meaning purpose.,SPANE captures the emotional component; FS captures eudaimonic functioning. Often used together in well-being batteries.,When you need to assess psychological functioning beyond emotions
4,PERMA Profiler,PERMA,23,0-10,Seligman,2011,Measures five elements of well-being: Positive emotion Engagement Relationships Meaning Accomplishment.,SPANE measures the 'P' (Positive Emotion) component of PERMA. Can be used alongside PERMA for comprehensive assessment.,When you need a broad well-being framework
5,Mental Health Continuum-Short Form,MHC-SF,14,0-5,Keyes,2009,Measures emotional psychological and social well-being. Categorical diagnosis of flourishing languishing.,SPANE focuses on emotional well-being (affect frequency); MHC-SF covers all three domains of Keyes' model.,When you need comprehensive mental health assessment
6,Subjective Happiness Scale,SHS,4,1-7,Lyubomirsky & Lepper,1999,Measures global subjective happiness via self-report. Brief 4-item scale.,SPANE is more comprehensive (12 items vs 4) and separates positive/negative affect. SHS is a single global happiness score.,When you need a very brief global happiness measure
7,Oxford Happiness Questionnaire,OHQ,29,1-6,Hills & Argyle,2002,Measures personal happiness via cognitive and affective items. Longer instrument.,SPANE is briefer and focuses specifically on affect frequency. OHQ includes broader life evaluation items.,When you need a comprehensive happiness inventory
8,Warwick-Edinburgh Mental Well-being Scale,WEMWBS,14,14-70,Tennant et al.,2007,Measures mental well-being: positive affect relationships functioning.,SPANE is shorter (12 vs 14 items) and explicitly separates positive/negative affect. WEMWBS is a single well-being score.,When you need a validated population well-being measure
9,Scale of General Well-Being,SGWB,20,0-4,Góngora,2010,Measures general well-being across multiple dimensions in Spanish-speaking populations.,SPANE has been validated alongside SGWB in Latin American studies. SPANE is more focused on affect frequency.,When working with Spanish-speaking populations
10,Affect Balance Scale,ABS,10,0-3,Bradburn,1969,Classic measure of psychological well-being via positive/negative affect balance.,SPANE is the modern successor: more items better psychometrics broader emotion coverage validated across cultures.,When you need a modern replacement for Bradburn's classic scale
