paper_id,authors,year,title,venue,doi,topic_area,description,connection
1,Diener et al.,2009,New well-being measures: Flourishing and positive and negative feelings,Social Indicators Research,10.1007/s11205-009-9493-y,Well-being Measurement,Original SPANE paper establishing the 12-item affect frequency scale. Foundation for digital well-being assessment.,SPANE can be embedded in AI agents as a real-time well-being monitoring instrument
2,Hendriks et al.,2019,How WEIRD are positive psychology interventions?,Journal of Positive Psychology,10.1080/17439760.2018.1484941,Cross-Cultural Psychology,Bibliometric analysis showing most well-being RCTs are conducted in Western Educated Industrialized Rich Democratic populations. Calls for more diverse validation.,Blocks agents could democratize well-being assessment by deploying SPANE globally via the network
3,Rajkumar,2020,COVID-19 and mental health: A review,Asian Journal of Psychiatry,10.1016/j.ajp.2020.102066,Mental Health,Review of mental health impacts during COVID-19 highlighting need for remote well-being monitoring tools.,Pipe streaming agents could provide continuous remote well-being monitoring during crises
4,Das et al.,2020,Understanding subjective well-being: Perspectives from psychology and public health,Public Health Reviews,10.1186/s40985-020-00142-5,Public Health,Integrates psychological and public health perspectives on well-being measurement and intervention design.,Agent-based well-being interventions could bridge psychology research and public health deployment
5,Fredrickson,2006,The broaden and build theory of positive emotions,Oxford University Press,Book chapter,Positive Psychology,Foundational theory: positive emotions broaden thought-action repertoires and build enduring personal resources.,AI agents could deliver personalized positive psychology interventions based on real-time SPANE scores
6,Hart & Sasso,2011,Mapping the contours of contemporary positive psychology,Canadian Psychology,10.1037/a0023118,Positive Psychology,Overview of positive psychology field including measurement approaches and intervention strategies.,SPANE is a cornerstone measure in this field; agent-based delivery extends reach
7,Joseph & Wood,2010,Assessment of positive functioning in clinical psychology,Clinical Psychology Review,10.1016/j.cpr.2010.01.002,Clinical Psychology,Reviews assessment of positive functioning in clinical settings including well-being measures.,Clinical agents could use SPANE for patient monitoring and treatment outcome measurement
8,Fu et al.,2024,A Survey on Agentic Large Language Models,arXiv,10.48550/arXiv.2402.01680,Agent Architecture,Comprehensive survey of agentic LLM architectures capabilities and applications. Foundation for agent design.,Well-being assessment agents fit within the broader agentic LLM architecture landscape
9,Lin et al.,2025,Multi-Agent Fact Checking,arXiv,10.48550/arXiv.2503.02116,Multi-Agent Systems,Multi-agent approach to fact-checking using coordinated specialized agents.,Pattern applicable to well-being: specialist agents for assessment interpretation and intervention
10,Zhao et al.,2024,KoMA: Knowledge-driven Multi-agent Framework for Autonomous Driving,arXiv,10.48550/arXiv.2407.14239,Multi-Agent Systems,Knowledge-driven multi-agent framework demonstrating coordinated specialized agents in complex domains.,Multi-agent coordination patterns from autonomous driving transferable to well-being monitoring systems
