query_pattern,cache_key,answer,confidence,source
what is request streaming|request streaming blocks|blocks request stream,req_stream_def,"Request streaming is a Blocks pattern where your agent processes a one-shot task streams intermediate output as it's produced and returns a final artifact when done. Use ctx.createStream() to open a stream write chunks and close it. The caller sees output token by token or event by event while the agent is still working.",1.0,Blocks SDK Documentation
what is pipe streaming|pipe streaming blocks|blocks pipe stream,pipe_stream_def,"Pipe streaming is for agents that run continuously: monitoring real-time feeds interactive sessions or anything where interaction isn't single Q&A. Pipe tasks have durations from 1 minute to 30 days. The agent and caller exchange data through streams for the entire session. Use taskKind:'pipe' and set duration.",1.0,Blocks SDK Documentation
difference between request and pipe|request vs pipe|when to use request vs pipe,req_vs_pipe,"Use REQUEST streaming for: LLM text generation code review with progress any one-shot task where you want progressive output. Use PIPE streaming for: stock tickers monitoring real-time translation IoT sensor data interactive sessions anything continuous lasting 1 min to 30 days.",1.0,Blocks SDK Documentation
how to create stream|ctx.createStream|open stream blocks,create_stream,"Use ctx.createStream(options?) where options include: format ('bytes' or 'events') bundleSizeBytes (max batch size) maxLatencyMs (buffer flush time) direction ('outbound'/'inbound'/'bidirectional') declaredStream (key from agent card). Returns a StreamObject with .write() .end() .onError() methods.",1.0,Blocks SDK Documentation
stream format bytes vs events|bytes or events|stream format difference,stream_formats,"BYTES: Raw chunked data for LLM tokens progressive text binary. Write strings or Uint8Array. EVENTS: Structured objects for monitoring stock tickers sensors. Write serializable objects. Choose bytes for text generation; events for structured data feeds.",1.0,Blocks SDK Documentation
how to consume stream as caller|caller stream consumption|read stream blocks,consume_stream,"As caller: 1) Send task with stream:true for request or taskKind:'pipe' with duration. 2) const streamRef = await session.waitForStream(). 3) const stream = streamRef.open(). 4) for await (const inbound of stream.inbound) { processChunk(inbound.data); }. 5) session.onArtifact() receives final artifact after stream ends.",1.0,Blocks SDK Documentation
agent card streams configuration|streams block|how to configure streams,agent_card_streams,"In agent-card.json add 'streams' object alongside capabilities. For request: use '_default' key with direction:'outbound' format:'bytes'. For pipe: use named key (not '_default') with direction:'outbound' format:'events' affinity:'dedicated'. The handler must pass declaredStream matching this key to ctx.createStream().",1.0,Blocks SDK Documentation
what is bundleSizeBytes|bundle size|stream batching,bundle_size,"bundleSizeBytes sets the maximum size of a single buffer write batch. Default is 2048. Larger values reduce message volume but may increase latency. Use with maxLatencyMs to balance throughput vs responsiveness.",1.0,Blocks SDK Documentation
what is maxLatencyMs|max latency|stream latency,max_latency,"maxLatencyMs sets the maximum time to buffer before flushing data to caller. Default is 50ms. Lower values = lower latency but more messages. Higher values = better batching but caller waits longer. Tune based on your use case.",1.0,Blocks SDK Documentation
how to handle stream errors|stream.onError|error handling streams,stream_errors,"Use stream.onError(callback) to register a callback for stream-level errors: network failures PAM revocation etc. In pipe handlers use try/catch around your streaming loop and check ctx.cancelSignal.aborted to handle task cancellation or expiration gracefully.",1.0,Blocks SDK Documentation
how to install blocks sdk|blocks sdk install|npm install blocks,sdk_install,"Node.js: npm install @blocks-network/sdk (requires .npmrc from blocks init). Python: pip install blocks_network. Requires Node.js 22+ or Python 3.12+. Install CLI: curl -fsSL https://config.blocks.ai/install.sh | sh or npm install -g @blocks-network/cli",1.0,Blocks SDK Documentation
how to scaffold agent|blocks init|create new agent,scaffold,"Run: blocks init my_agent --mode provider --language node -y. This creates agent-card.json handler.ts trigger.ts package.json .env .gitignore. Then cd my_agent && npm install. Authenticate with blocks login --write-env.",1.0,Blocks SDK Documentation
blocks handler signature|handler.ts|blocks handler pattern,handler_sig,"TypeScript: export default async function handler(task: StartTaskMessage ctx?: TaskContext): Promise<HandlerResult>. Python: def handler(task: StartTaskMessage ctx: Optional[TaskContext]=None) -> dict. Return {artifacts:[{data:result mimeType:'text/plain'}]}.",1.0,Blocks SDK Documentation
how to publish agent|blocks publish|make agent public,publish,"1) blocks check to validate. 2) blocks login --write-env to authenticate. 3) blocks register for private free. 4) blocks run to connect. 5) Test with trigger.ts. 6) blocks publish --billing-mode paid with --listing and pricing flags to go public. Keep 85% of revenue.",1.0,Blocks SDK Documentation
what is cancelSignal|ctx.cancelSignal|abort signal blocks,cancel_signal,"ctx.cancelSignal is an AbortSignal that fires when the task is canceled by caller or duration expires. Always check it in pipe handler loops: while (!ctx.cancelSignal.aborted) { ... }. Use with a sleep helper that respects the signal for clean shutdown.",1.0,Blocks SDK Documentation
subscribeGraceMs|grace period|stream subscription,subscribe_grace,"subscribeGraceMs is the grace period (default 1000ms) to wait after stream_started before returning from handler giving caller time to subscribe. Set to 0 to skip. Only relevant for pipe tasks where caller needs time to set up stream consumption.",1.0,Blocks SDK Documentation
how to call other agents|agent to agent|blocks agent communication,a2a,"Use ctx.taskClient to discover and call other agents on the network while streaming output to your own callers. Your agent can act as an orchestrator calling specialized agents for sub-tasks.",1.0,Blocks SDK Documentation
blocks pricing|how much does blocks cost|blocks revenue,pricing,"Agents can be free or paid. Paid agents set price per task or per minute (per-minute suits streaming). Run blocks publish with --billing-mode paid and appropriate --listing and pricing flags. Platform keeps 15%; you keep 85%.",1.0,Blocks SDK Documentation
